Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","27","Rice","t","409753.09","E","Estimated value"
"QCL","Crops and livestock products","3","Albania","5510","Production","27","Rice","t","2758.73","E","Estimated value"
"QCL","Crops and livestock products","4","Algeria","5510","Production","27","Rice","t","720.59","E","Estimated value"
"QCL","Crops and livestock products","7","Angola","5510","Production","27","Rice","t","12037.93","E","Estimated value"
"QCL","Crops and livestock products","9","Argentina","5510","Production","27","Rice","t","961914.2","E","Estimated value"
"QCL","Crops and livestock products","1","Armenia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","10","Australia","5510","Production","27","Rice","t","750735.04","E","Estimated value"
"QCL","Crops and livestock products","52","Azerbaijan","5510","Production","27","Rice","t","8225.73","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice","t","37101907.12","E","Estimated value"
"QCL","Crops and livestock products","255","Belgium","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","23","Belize","5510","Production","27","Rice","t","11646.51","E","Estimated value"
"QCL","Crops and livestock products","53","Benin","5510","Production","27","Rice","t","115655.13","E","Estimated value"
"QCL","Crops and livestock products","18","Bhutan","5510","Production","27","Rice","t","58594.4","E","Estimated value"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5510","Production","27","Rice","t","326573.17","E","Estimated value"
"QCL","Crops and livestock products","21","Brazil","5510","Production","27","Rice","t","10708508.66","E","Estimated value"
"QCL","Crops and livestock products","26","Brunei Darussalam","5510","Production","27","Rice","t","1247.57","E","Estimated value"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","27","Rice","t","40140.66","E","Estimated value"
"QCL","Crops and livestock products","233","Burkina Faso","5510","Production","27","Rice","t","155656.13","E","Estimated value"
"QCL","Crops and livestock products","29","Burundi","5510","Production","27","Rice","t","61021.14","E","Estimated value"
"QCL","Crops and livestock products","115","Cambodia","5510","Production","27","Rice","t","5390556.63","E","Estimated value"
"QCL","Crops and livestock products","32","Cameroon","5510","Production","27","Rice","t","119078.8","E","Estimated value"
"QCL","Crops and livestock products","37","Central African Republic","5510","Production","27","Rice","t","19709.83","E","Estimated value"
"QCL","Crops and livestock products","39","Chad","5510","Production","27","Rice","t","135715.89","E","Estimated value"
"QCL","Crops and livestock products","40","Chile","5510","Production","27","Rice","t","136504.86","E","Estimated value"
"QCL","Crops and livestock products","351","China","5510","Production","27","Rice","t","190193326.42","E","Estimated value"
"QCL","Crops and livestock products","96","China, Hong Kong SAR","5510","Production","27","Rice","t","3.07","E","Estimated value"
"QCL","Crops and livestock products","41","China, mainland","5510","Production","27","Rice","t","188210376.1","E","Estimated value"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5510","Production","27","Rice","t","1982947.24","E","Estimated value"
"QCL","Crops and livestock products","44","Colombia","5510","Production","27","Rice","t","2175801.6","E","Estimated value"
"QCL","Crops and livestock products","45","Comoros","5510","Production","27","Rice","t","20076.15","E","Estimated value"
"QCL","Crops and livestock products","46","Congo","5510","Production","27","Rice","t","1296.13","E","Estimated value"
"QCL","Crops and livestock products","48","Costa Rica","5510","Production","27","Rice","t","205757.03","E","Estimated value"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","27","Rice","t","947427.2","E","Estimated value"
"QCL","Crops and livestock products","98","Croatia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","49","Cuba","5510","Production","27","Rice","t","486999.63","E","Estimated value"
"QCL","Crops and livestock products","50","Cyprus","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","167","Czechia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","t","2439082.73","E","Estimated value"
"QCL","Crops and livestock products","250","Democratic Republic of the Congo","5510","Production","27","Rice","t","554039.68","E","Estimated value"
"QCL","Crops and livestock products","54","Denmark","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","56","Dominican Republic","5510","Production","27","Rice","t","643600.84","E","Estimated value"
"QCL","Crops and livestock products","58","Ecuador","5510","Production","27","Rice","t","1187870.5","E","Estimated value"
"QCL","Crops and livestock products","59","Egypt","5510","Production","27","Rice","t","4590538.98","E","Estimated value"
"QCL","Crops and livestock products","60","El Salvador","5510","Production","27","Rice","t","43262.74","E","Estimated value"
"QCL","Crops and livestock products","63","Estonia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","209","Eswatini","5510","Production","27","Rice","t","1234.29","E","Estimated value"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","27","Rice","t","67595.52","E","Estimated value"
"QCL","Crops and livestock products","66","Fiji","5510","Production","27","Rice","t","15518.18","E","Estimated value"
"QCL","Crops and livestock products","67","Finland","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","68","France","5510","Production","27","Rice","t","94614.16","E","Estimated value"
"QCL","Crops and livestock products","69","French Guiana","5510","Production","27","Rice","t","18603.19","E","Estimated value"
"QCL","Crops and livestock products","74","Gabon","5510","Production","27","Rice","t","1107.89","E","Estimated value"
"QCL","Crops and livestock products","75","Gambia","5510","Production","27","Rice","t","33418.78","E","Estimated value"
"QCL","Crops and livestock products","79","Germany","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","81","Ghana","5510","Production","27","Rice","t","331987.57","E","Estimated value"
"QCL","Crops and livestock products","84","Greece","5510","Production","27","Rice","t","176554.27","E","Estimated value"
"QCL","Crops and livestock products","89","Guatemala","5510","Production","27","Rice","t","33978.47","E","Estimated value"
"QCL","Crops and livestock products","90","Guinea","5510","Production","27","Rice","t","1279801.76","E","Estimated value"
"QCL","Crops and livestock products","175","Guinea-Bissau","5510","Production","27","Rice","t","131469.78","E","Estimated value"
"QCL","Crops and livestock products","91","Guyana","5510","Production","27","Rice","t","464154.65","E","Estimated value"
"QCL","Crops and livestock products","93","Haiti","5510","Production","27","Rice","t","130433.47","E","Estimated value"
"QCL","Crops and livestock products","95","Honduras","5510","Production","27","Rice","t","41401.76","E","Estimated value"
"QCL","Crops and livestock products","97","Hungary","5510","Production","27","Rice","t","17867.39","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","27","Rice","t","130627713.39","E","Estimated value"
"QCL","Crops and livestock products","101","Indonesia","5510","Production","27","Rice","t","50190805.54","E","Estimated value"
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","27","Rice","t","2184738.27","E","Estimated value"
"QCL","Crops and livestock products","103","Iraq","5510","Production","27","Rice","t","239180.51","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","106","Italy","5510","Production","27","Rice","t","1348961.54","E","Estimated value"
"QCL","Crops and livestock products","109","Jamaica","5510","Production","27","Rice","t","652.84","E","Estimated value"
"QCL","Crops and livestock products","110","Japan","5510","Production","27","Rice","t","11832952.44","E","Estimated value"
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","27","Rice","t","336694.72","E","Estimated value"
"QCL","Crops and livestock products","114","Kenya","5510","Production","27","Rice","t","69567.27","E","Estimated value"
"QCL","Crops and livestock products","113","Kyrgyzstan","5510","Production","27","Rice","t","21405.1","E","Estimated value"
"QCL","Crops and livestock products","120","Lao People's Democratic Republic","5510","Production","27","Rice","t","2346261.9","E","Estimated value"
"QCL","Crops and livestock products","119","Latvia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","123","Liberia","5510","Production","27","Rice","t","219320.73","E","Estimated value"
"QCL","Crops and livestock products","126","Lithuania","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","256","Luxembourg","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","129","Madagascar","5510","Production","27","Rice","t","3058587.98","E","Estimated value"
"QCL","Crops and livestock products","130","Malawi","5510","Production","27","Rice","t","79069.72","E","Estimated value"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","27","Rice","t","2167171.63","E","Estimated value"
"QCL","Crops and livestock products","133","Mali","5510","Production","27","Rice","t","1129441.16","E","Estimated value"
"QCL","Crops and livestock products","134","Malta","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","136","Mauritania","5510","Production","27","Rice","t","114055.05","E","Estimated value"
"QCL","Crops and livestock products","137","Mauritius","5510","Production","27","Rice","t","126.07","E","Estimated value"
"QCL","Crops and livestock products","138","Mexico","5510","Production","27","Rice","t","354276.59","E","Estimated value"
"QCL","Crops and livestock products","145","Micronesia (Federated States of)","5510","Production","27","Rice","t","114.25","E","Estimated value"
"QCL","Crops and livestock products","143","Morocco","5510","Production","27","Rice","t","34794.79","E","Estimated value"
"QCL","Crops and livestock products","144","Mozambique","5510","Production","27","Rice","t","126875.39","E","Estimated value"
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","t","21397161.49","E","Estimated value"
"QCL","Crops and livestock products","149","Nepal","5510","Production","27","Rice","t","3910521.14","E","Estimated value"
"QCL","Crops and livestock products","150","Netherlands (Kingdom of the)","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","156","New Zealand","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","157","Nicaragua","5510","Production","27","Rice","t","275100.2","E","Estimated value"
"QCL","Crops and livestock products","158","Niger","5510","Production","27","Rice","t","72416.57","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","27","Rice","t","4139741.05","E","Estimated value"
"QCL","Crops and livestock products","154","North Macedonia","5510","Production","27","Rice","t","19412.93","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","27","Rice","t","7465929.57","E","Estimated value"
"QCL","Crops and livestock products","166","Panama","5510","Production","27","Rice","t","261258.02","E","Estimated value"
"QCL","Crops and livestock products","168","Papua New Guinea","5510","Production","27","Rice","t","717.72","E","Estimated value"
"QCL","Crops and livestock products","169","Paraguay","5510","Production","27","Rice","t","298117.15","E","Estimated value"
"QCL","Crops and livestock products","170","Peru","5510","Production","27","Rice","t","1981366.98","E","Estimated value"
"QCL","Crops and livestock products","171","Philippines","5510","Production","27","Rice","t","13283738.6","E","Estimated value"
"QCL","Crops and livestock products","173","Poland","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","174","Portugal","5510","Production","27","Rice","t","150445.61","E","Estimated value"
"QCL","Crops and livestock products","177","Puerto Rico","5510","Production","27","Rice","t","965.16","E","Estimated value"
"QCL","Crops and livestock products","117","Republic of Korea","5510","Production","27","Rice","t","6601707.8","E","Estimated value"
"QCL","Crops and livestock products","146","Republic of Moldova","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","182","Réunion","5510","Production","27","Rice","t","106.14","E","Estimated value"
"QCL","Crops and livestock products","183","Romania","5510","Production","27","Rice","t","45781.9","E","Estimated value"
"QCL","Crops and livestock products","185","Russian Federation","5510","Production","27","Rice","t","759202.1","E","Estimated value"
"QCL","Crops and livestock products","184","Rwanda","5510","Production","27","Rice","t","44793.94","E","Estimated value"
"QCL","Crops and livestock products","191","Saint Vincent and the Grenadines","5510","Production","27","Rice","t","1.09","E","Estimated value"
"QCL","Crops and livestock products","194","Saudi Arabia","5510","Production","27","Rice","t","63.47","E","Estimated value"
"QCL","Crops and livestock products","195","Senegal","5510","Production","27","Rice","t","392803.92","E","Estimated value"
"QCL","Crops and livestock products","197","Sierra Leone","5510","Production","27","Rice","t","675424.35","E","Estimated value"
"QCL","Crops and livestock products","199","Slovakia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","198","Slovenia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","25","Solomon Islands","5510","Production","27","Rice","t","3341.08","E","Estimated value"
"QCL","Crops and livestock products","201","Somalia","5510","Production","27","Rice","t","7605.2","E","Estimated value"
"QCL","Crops and livestock products","202","South Africa","5510","Production","27","Rice","t","3034.81","E","Estimated value"
"QCL","Crops and livestock products","277","South Sudan","5510","Production","27","Rice","t","13242.2","E","Estimated value"
"QCL","Crops and livestock products","203","Spain","5510","Production","27","Rice","t","677286.15","E","Estimated value"
"QCL","Crops and livestock products","38","Sri Lanka","5510","Production","27","Rice","t","3126914.8","E","Estimated value"
"QCL","Crops and livestock products","276","Sudan","5510","Production","27","Rice","t","27903.33","E","Estimated value"
"QCL","Crops and livestock products","206","Sudan (former)","5510","Production","27","Rice","t","9682.19","E","Estimated value"
"QCL","Crops and livestock products","207","Suriname","5510","Production","27","Rice","t","235027.83","E","Estimated value"
"QCL","Crops and livestock products","210","Sweden","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","212","Syrian Arab Republic","5510","Production","27","Rice","t","45.95","E","Estimated value"
"QCL","Crops and livestock products","208","Tajikistan","5510","Production","27","Rice","t","61242.11","E","Estimated value"
"QCL","Crops and livestock products","216","Thailand","5510","Production","27","Rice","t","26432138.85","E","Estimated value"
"QCL","Crops and livestock products","176","Timor-Leste","5510","Production","27","Rice","t","57196.15","E","Estimated value"
"QCL","Crops and livestock products","217","Togo","5510","Production","27","Rice","t","80406.1","E","Estimated value"
"QCL","Crops and livestock products","220","Trinidad and Tobago","5510","Production","27","Rice","t","5526.28","E","Estimated value"
"QCL","Crops and livestock products","223","Türkiye","5510","Production","27","Rice","t","527483.54","E","Estimated value"
"QCL","Crops and livestock products","213","Turkmenistan","5510","Production","27","Rice","t","78842.83","E","Estimated value"
"QCL","Crops and livestock products","226","Uganda","5510","Production","27","Rice","t","127026.03","E","Estimated value"
"QCL","Crops and livestock products","230","Ukraine","5510","Production","27","Rice","t","87810.93","E","Estimated value"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","27","Rice","t","1263797.98","E","Estimated value"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice","t","8415831.46","E","Estimated value"
"QCL","Crops and livestock products","234","Uruguay","5510","Production","27","Rice","t","948747.78","E","Estimated value"
"QCL","Crops and livestock products","228","USSR","5510","Production","27","Rice","t","2347690.91","E","Estimated value"
"QCL","Crops and livestock products","235","Uzbekistan","5510","Production","27","Rice","t","310932.17","E","Estimated value"
"QCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5510","Production","27","Rice","t","726143.73","E","Estimated value"
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","t","30778239.67","E","Estimated value"
"QCL","Crops and livestock products","248","Yugoslav SFR","5510","Production","27","Rice","t","38287.55","E","Estimated value"
"QCL","Crops and livestock products","251","Zambia","5510","Production","27","Rice","t","21259.89","E","Estimated value"
"QCL","Crops and livestock products","181","Zimbabwe","5510","Production","27","Rice","t","746.59","E","Estimated value"
